id,brand,name_ja,model,batch_name,source_file,managed_file
26784443-9cdb-495a-90e6-4b60a892ca59,Petzl,ACTIK CORE,ACTIK CORE,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/26784443-9cdb-495a-90e6-4b60a892ca59.png,processed/by-brand-all/Petzl/ACTIK CORE - 26784443.png
7920db57-54b5-47f7-ab93-d1d2c5e26350,Garmin,eTrex SE,eTrex SE,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/7920db57-54b5-47f7-ab93-d1d2c5e26350.png,processed/by-brand-all/Garmin/eTrex SE - 7920db57.png
c887dd96-c94f-465e-8367-92eeda7bd0b1,mont-bell,EXパワーヘッドランプ,EXパワーヘッドランプ,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/c887dd96-c94f-465e-8367-92eeda7bd0b1.png,processed/by-brand-all/mont-bell/EXパワーヘッドランプ - c887dd96.png
b91e74c9-0290-4807-a621-2b39dad8dad9,Petzl,IKO CORE,IKO CORE,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/b91e74c9-0290-4807-a621-2b39dad8dad9.png,processed/by-brand-all/Petzl/IKO CORE - b91e74c9.png
73172134-dca1-48fb-9811-e51e59221b9f,Petzl,SWIFT RL,SWIFT RL,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/73172134-dca1-48fb-9811-e51e59221b9f.png,processed/by-brand-all/Petzl/SWIFT RL - 73172134.png
640eed16-030e-46eb-950a-b9ef91b63b11,mont-bell,L.W.インナーグローブ Men's,L.W.インナーグローブ Men's,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/640eed16-030e-46eb-950a-b9ef91b63b11.png,processed/by-brand-all/mont-bell/L.W.インナーグローブ Men's - 640eed16.png
d4ce6133-3fef-438e-b28e-4e8708ca8f20,mont-bell,L.W.チェーンスパイク,L.W.チェーンスパイク,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/d4ce6133-3fef-438e-b28e-4e8708ca8f20.png,processed/by-brand-all/mont-bell/L.W.チェーンスパイク - d4ce6133.png
4638a66f-389c-4783-ab0e-d9af3de782e9,山と道,Stuff Pack,Stuff Pack,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/4638a66f-389c-4783-ab0e-d9af3de782e9.png,processed/by-brand-all/山と道/Stuff Pack - 4638a66f.png
84a27cf9-b4ef-4758-ac9a-27a5456aca67,山と道,Yamatomichi Sacoche,Yamatomichi Sacoche,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/84a27cf9-b4ef-4758-ac9a-27a5456aca67.png,processed/by-brand-all/山と道/Yamatomichi Sacoche - 84a27cf9.png
ca109ad9-2ef8-41ce-b1aa-311cdc2ad15e,山と道,Zip Pack,Zip Pack,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/ca109ad9-2ef8-41ce-b1aa-311cdc2ad15e.png,processed/by-brand-all/山と道/Zip Pack - ca109ad9.png
