id,brand,name_ja,model,official_weight_grams,weight_grams,msrp_jpy,verification_status,official_url,msrp_source_url,image_url
75ebecea-8378-4617-8255-1ac1cb39840f,山と道,100% Merino Hoody,100% Merino Hoody,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/75ebecea-8378-4617-8255-1ac1cb39840f.png
24e3e111-3514-4aa7-ab17-00d8ddc49f4f,山と道,100% Merino Light Long Sleeve,100% Merino Light Long Sleeve,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/24e3e111-3514-4aa7-ab17-00d8ddc49f4f.png
d6bdd74c-155b-4404-894e-ff27d0ded994,山と道,5-Pocket Pants,5-Pocket Pants,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/d6bdd74c-155b-4404-894e-ff27d0ded994.png
4f9682ae-5725-4284-af95-26cbbdc50e15,山と道,5-Pocket Shorts,5-Pocket Shorts,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/4f9682ae-5725-4284-af95-26cbbdc50e15.png
9b32957b-b394-4034-a2e7-419d1219ca7a,山と道,Alpha Anorak,Alpha Anorak,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/9b32957b-b394-4034-a2e7-419d1219ca7a.png
cbe90a7d-279a-4b90-84fe-df0fa6891dac,山と道,Alpha Haramaki,Alpha Haramaki,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/cbe90a7d-279a-4b90-84fe-df0fa6891dac.png
83079b8a-a21d-4c65-a47c-fd3be1897254,山と道,Bamboo Shirt,Bamboo Shirt,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/83079b8a-a21d-4c65-a47c-fd3be1897254.png
22795b6f-8239-4363-a127-1819be03c6e6,山と道,DW 5-Pocket Pants,DW 5-Pocket Pants,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/22795b6f-8239-4363-a127-1819be03c6e6.png
02fcca9e-4a01-49f7-8b42-45e201873ecd,山と道,Light 5-Pocket Pants,Light 5-Pocket Pants,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/02fcca9e-4a01-49f7-8b42-45e201873ecd.png
205e0589-4658-49ef-aa4b-50d9d415d206,山と道,Light Alpha Tights,Light Alpha Tights,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/205e0589-4658-49ef-aa4b-50d9d415d206.png
8ab9fb99-6005-4494-83a0-ee9433887f03,山と道,Merino Knit Cap,Merino Knit Cap,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/8ab9fb99-6005-4494-83a0-ee9433887f03.png
a25640e2-7108-417d-a611-415e74239ff0,山と道,Only Hood,Only Hood,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/a25640e2-7108-417d-a611-415e74239ff0.png
19aeae13-5b3b-4312-8225-22f57e0e0acd,山と道,UL Short Sleeve Shirt,UL Short Sleeve Shirt,,,,needs_review,https://shop.yamatomichi.com/collections/all,https://shop.yamatomichi.com/collections/all,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/19aeae13-5b3b-4312-8225-22f57e0e0acd.png
