brand,name_ja,model,id,output_path,managed_file,source_image_url
SOTO,CB TOUGH 220,ST-712,260e1757-dfca-4df2-901c-60fc7290680b,tmp/gear-images/processed/catalog-remaining-existing-visible/260e1757-dfca-4df2-901c-60fc7290680b.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/CB TOUGH 220 - ST-712 - 260e1757.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-712_011.jpg
SOTO,G-ストーブ ST-320,ST-320,5cd7e352-0dd0-4790-9736-c04d0f3abf35,tmp/gear-images/processed/catalog-remaining-existing-visible/5cd7e352-0dd0-4790-9736-c04d0f3abf35.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/G-ストーブ ST-320 - ST-320 - 5cd7e352.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-320_01-1-550x361.jpg
SOTO,GORA パンチングザル,ST-950P,66d18a5e-8e82-44dd-8ca0-cbf695986ddc,tmp/gear-images/processed/catalog-remaining-existing-visible/66d18a5e-8e82-44dd-8ca0-cbf695986ddc.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/GORA パンチングザル - ST-950P - 66d18a5e.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-950P_01-1.jpg
SOTO,GORA フライパン16cm,ST-950FP16,df6833ab-71a2-4399-83dd-d3112ec51176,tmp/gear-images/processed/catalog-remaining-existing-visible/df6833ab-71a2-4399-83dd-d3112ec51176.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/GORA フライパン16cm - ST-950FP16 - df6833ab.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-950FP16_01-1.jpg
SOTO,GORA フライパン22cm,ST-950FP22,77113dbd-4ae0-4202-95e4-20e0d0350a2c,tmp/gear-images/processed/catalog-remaining-existing-visible/77113dbd-4ae0-4202-95e4-20e0d0350a2c.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/GORA フライパン22cm - ST-950FP22 - 77113dbd.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-950FP22_01-1.jpg
SOTO,GRID テーブル,ST-526T,a747dbe4-5002-4f65-ab29-013813573296,tmp/gear-images/processed/catalog-remaining-existing-visible/a747dbe4-5002-4f65-ab29-013813573296.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/GRID テーブル - ST-526T - a747dbe4.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-526T_01-1.jpg
SOTO,TrekMaster（トレックマスター）,ST-331,84bdcb2c-1083-409b-9ebd-ee3b6e63f2f2,tmp/gear-images/processed/catalog-remaining-existing-visible/84bdcb2c-1083-409b-9ebd-ee3b6e63f2f2.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/TrekMaster(トレックマスター) - ST-331 - 84bdcb2c.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-331_01.webp
SOTO,ガス抜きツール ルミナス,ST-770LU,a0fdac12-a5be-4730-8bad-7e114b505ddc,tmp/gear-images/processed/catalog-remaining-existing-visible/a0fdac12-a5be-4730-8bad-7e114b505ddc.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/ガス抜きツール ルミナス - ST-770LU - a0fdac12.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-770LU_kikaku_01-2.jpg
SOTO,ガス抜きツール ルミナスブルー,ST-770LUBL,3b2a5022-ca26-4223-8c4c-20c849350f86,tmp/gear-images/processed/catalog-remaining-existing-visible/3b2a5022-ca26-4223-8c4c-20c849350f86.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/ガス抜きツール ルミナスブルー - ST-770LUBL - 3b2a5022.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-770LUBL_kikaku_01.jpg
SOTO,ステンレスヘビーポット GORA(ゴーラ),ST-950,d2603e55-b675-45f4-80e7-2d5cf0059a4d,tmp/gear-images/processed/catalog-remaining-existing-visible/d2603e55-b675-45f4-80e7-2d5cf0059a4d.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/ステンレスヘビーポット GORA(ゴーラ) - ST-950 - d2603e55.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-950_01-1.jpg
SOTO,パワーガス500トリプルミックス,SOD-750T,c8f8398a-3b0e-4a34-8e9a-84969d5f3faa,tmp/gear-images/processed/catalog-remaining-existing-visible/c8f8398a-3b0e-4a34-8e9a-84969d5f3faa.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/パワーガス500トリプルミックス - SOD-750T - c8f8398a.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-750T_01-1.jpg
SOTO,マイクロトーチ用ホルスター（カーキ）,ST-4891KK,585b6aa0-4a54-4ee9-81fb-56bea6bb1c11,tmp/gear-images/processed/catalog-remaining-existing-visible/585b6aa0-4a54-4ee9-81fb-56bea6bb1c11.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/マイクロトーチ用ホルスター(カーキ) - ST-4891KK - 585b6aa0.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-4891KK_01.jpg
SOTO,ミニマルクッカー角,ST-3108,de05011e-8ba5-4b5e-9cde-250dcd2c1a7a,tmp/gear-images/processed/catalog-remaining-existing-visible/de05011e-8ba5-4b5e-9cde-250dcd2c1a7a.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/ミニマルクッカー角 - ST-3108 - de05011e.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-3108_01-1.jpg
SOTO,レギュレーターストーブ FUSION ST-330,ST-330,189ef945-c105-41e7-a04e-ce9796c0f2ac,tmp/gear-images/processed/catalog-remaining-existing-visible/189ef945-c105-41e7-a04e-ce9796c0f2ac.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/レギュレーターストーブ FUSION ST-330 - ST-330 - 189ef945.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-330_01-2-550x333.jpg
SOTO,レギュレーターストーブ Range ST-340,ST-340,c098eaa3-3137-4f83-9c29-9b675650ad8d,tmp/gear-images/processed/catalog-remaining-existing-visible/c098eaa3-3137-4f83-9c29-9b675650ad8d.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/レギュレーターストーブ Range ST-340 - ST-340 - c098eaa3.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-340_01-2-550x413.jpg
SOTO,レギュレーターストーブ ST-310,ST-310,6d2697c0-e63e-4585-9077-a7dce1c30bff,tmp/gear-images/processed/catalog-remaining-existing-visible/6d2697c0-e63e-4585-9077-a7dce1c30bff.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/レギュレーターストーブ ST-310 - ST-310 - 6d2697c0.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-310_01-1-550x412.jpg
SOTO,レギュレーターストーブ TriTrail ST-350,ST-350,e6a9b1a3-0adf-4c08-8d39-7d87f2d79344,tmp/gear-images/processed/catalog-remaining-existing-visible/e6a9b1a3-0adf-4c08-8d39-7d87f2d79344.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/レギュレーターストーブ TriTrail ST-350 - ST-350 - e6a9b1a3.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-350_01-550x508.jpg
SOTO,レギュレーターストーブ専用アシストグリップ ルミナス,ST-3105LU,9b0414c4-42d6-4665-862b-2a64a3426f96,tmp/gear-images/processed/catalog-remaining-existing-visible/9b0414c4-42d6-4665-862b-2a64a3426f96.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/レギュレーターストーブ専用アシストグリップ ルミナス - ST-3105LU - 9b0414c4.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-3105LU_kikaku_01.jpg
SOTO,レギュレーターストーブ専用アシストグリップ ルミナスブルー,ST-3105LUBL,275b5e3d-c86a-4f43-a287-cefac0e40800,tmp/gear-images/processed/catalog-remaining-existing-visible/275b5e3d-c86a-4f43-a287-cefac0e40800.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/レギュレーターストーブ専用アシストグリップ ルミナスブルー - ST-3105LUBL - 275b5e3d.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-3105LUBL_kikaku_01.jpg
Therm-a-Rest,Z Lite SOL レギュラー,Z Lite SOL Regular,72cf086e-c764-461d-b4b3-41d03315c1b8,tmp/gear-images/processed/catalog-remaining-existing-visible/72cf086e-c764-461d-b4b3-41d03315c1b8.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/Therm-a-Rest/Z Lite SOL レギュラー - Z Lite SOL Regular - 72cf086e.png,https://cdn.shopify.com/s/files/1/0574/0642/3174/files/06670_tr_zlite_sol_limonsilver_regular_silver_angle_fold.jpg?v=1728427656
山と道,Light Alpha Vest/Jacket,Light Alpha Vest/Jacket,15e437f6-5b4b-417b-957d-310b015613a8,tmp/gear-images/processed/catalog-remaining-existing-visible/15e437f6-5b4b-417b-957d-310b015613a8.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/山と道/Light Alpha Vest Jacket - 15e437f6.png,https://cdns3.yamatomichi.com/wp-content/uploads/2017/07/cf3d760ccfe8e0a6970b292836f91d71.jpg
山と道,UL All-weather Hoody,UL All-weather Hoody,82be8638-5e21-42ab-8a48-6d7356147245,tmp/gear-images/processed/catalog-remaining-existing-visible/82be8638-5e21-42ab-8a48-6d7356147245.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/山と道/UL All-weather Hoody - 82be8638.png,https://cdns3.yamatomichi.com/wp-content/uploads/2018/09/a1a2556eefaac3e9d8801f485e28af16-1.jpg
山と道,UL All-weather Jacket,UL All-weather Jacket,0e99825e-2817-4445-95cd-d321a1cb4ec9,tmp/gear-images/processed/catalog-remaining-existing-visible/0e99825e-2817-4445-95cd-d321a1cb4ec9.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/山と道/UL All-weather Jacket - 0e99825e.png,https://cdns3.yamatomichi.com/wp-content/uploads/2024/08/UL-All-weather-Jacket_Cinnamon-x-Blue-Gray_eyecatch.jpg
山と道,UL Shirt,UL Shirt,4f1183d2-7603-4a89-9b19-1554f4bec2fb,tmp/gear-images/processed/catalog-remaining-existing-visible/4f1183d2-7603-4a89-9b19-1554f4bec2fb.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/山と道/UL Shirt - 4f1183d2.png,https://cdns3.yamatomichi.com/wp-content/uploads/2019/07/2026_UL-Shirt_Seagrass.jpg
