brand,name_ja,model,category_label,id,managed_file,original_processed_file,source_image_url
Petzl,SWIFT RL,SWIFT RL,電子機器（Electronics）,73172134-dca1-48fb-9811-e51e59221b9f,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Petzl/SWIFT RL - 73172134.png,tmp/gear-images/processed/catalog-first-page-visible/73172134-dca1-48fb-9811-e51e59221b9f.png,https://www.petzl.com/sfc/servlet.shepherd/version/download/068Tx00000DjjT2IAJ
SOTO,アミカス SOD-320,SOD-320,クッキング（Cooking）,eaf7f11b-ca65-4c4e-a009-16bfe896263a,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/アミカス SOD-320 - SOD-320 - eaf7f11b.png,tmp/gear-images/processed/catalog-first-page-visible/eaf7f11b-ca65-4c4e-a009-16bfe896263a.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-320_04-1-550x845.jpg
SOTO,ウインドマスター専用4本ゴトク フォーフレックス,SOD-460,クッキング（Cooking）,c1c994ba-fe91-4c5f-956e-73868a51a05b,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/ウインドマスター専用4本ゴトク フォーフレックス - SOD-460 - c1c994ba.png,tmp/gear-images/processed/catalog-first-page-visible/c1c994ba-fe91-4c5f-956e-73868a51a05b.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-460_01-1.jpg
SOTO,サーモスタック,SOD-520,クッキング（Cooking）,35a903f9-785e-435f-aa76-934bfa9f1d93,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/サーモスタック - SOD-520 - 35a903f9.png,tmp/gear-images/processed/catalog-first-page-visible/35a903f9-785e-435f-aa76-934bfa9f1d93.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/S0D-520_01.jpg
SOTO,サーモスタッククッカーコンボ,SOD-521,クッキング（Cooking）,0e6a56df-6bab-48ed-bc16-d1f415843062,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/サーモスタッククッカーコンボ - SOD-521 - 0e6a56df.png,tmp/gear-images/processed/catalog-first-page-visible/0e6a56df-6bab-48ed-bc16-d1f415843062.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-521_01-2.jpg
SOTO,サーモライト,SOD-522,クッキング（Cooking）,e505785b-9546-4a0d-a1bf-97d5b91cd985,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/サーモライト - SOD-522 - e505785b.png,tmp/gear-images/processed/catalog-first-page-visible/e505785b-9546-4a0d-a1bf-97d5b91cd985.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-522_01-2.jpg
SOTO,スチームライスクッカー ITADAKI(イタダキ),SOD-523,クッキング（Cooking）,78ca16da-5e8b-426c-8619-543643713b3b,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/スチームライスクッカー ITADAKI(イタダキ) - SOD-523 - 78ca16da.png,tmp/gear-images/processed/catalog-first-page-visible/78ca16da-5e8b-426c-8619-543643713b3b.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-320_01-2.jpg
SOTO,チタンマグ450,SOD-532,クッキング（Cooking）,1f7ebae0-64c8-490e-898d-edda4d15922b,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/チタンマグ450 - SOD-532 - 1f7ebae0.png,tmp/gear-images/processed/catalog-first-page-visible/1f7ebae0-64c8-490e-898d-edda4d15922b.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-532_01.jpg
SOTO,チタンマグ600,SOD-533,クッキング（Cooking）,1cb0a832-4c9c-477e-9e5d-4b79fc10b9bd,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/チタンマグ600 - SOD-533 - 1cb0a832.png,tmp/gear-images/processed/catalog-first-page-visible/1cb0a832-4c9c-477e-9e5d-4b79fc10b9bd.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-533_04.jpg
SOTO,パワーガス105トリプルミックス,SOD-710T,クッキング（Cooking）,ee82dfbd-7122-4bed-9403-0dcc51748280,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/パワーガス105トリプルミックス - SOD-710T - ee82dfbd.png,tmp/gear-images/processed/catalog-first-page-visible/ee82dfbd-7122-4bed-9403-0dcc51748280.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-710T_01-1.jpg
